BirdID	Cohort	CaptureDate	CaptureTime	Year	Tarsus	Bill	Wing	Mass	Sex	Sex
4401	1991	21-Jun-00	NA	2000	18.89999962	NA	82	29.39999962	1	male
4401	1991	02-Oct-00	NA	2000	18.79999924	NA	79	31.60000038	1	male
4405	1994	20-Jun-00	NA	2000	19.10000038	NA	77	29.89999962	0	female
4405	1994	04-Oct-00	NA	2000	19	NA	78	31.60000038	0	female
4405	1994	07-Oct-00	NA	2000	19.10000038	NA	77	31	0	female
4409	1994	23-Mar-00	NA	2000	18	NA	76	28.10000038	1	male
4409	1994	14-Aug-00	NA	2000	17.89999962	NA	76	26.89999962	1	male
4409	1994	02-Oct-00	NA	2000	17.5	NA	73	29.60000038	1	male
4409	1994	13-Apr-01	NA	2001	18.29999924	NA	79	26.79999924	1	male
4409	1994	13-Jul-01	NA	2001	17.60000038	NA	77	25.70000076	1	male
4410	1994	07-Jun-01	NA	2001	18.70000076	NA	81	27.89999962	1	male
4399	1995	24-Mar-00	NA	2000	20	NA	81	30.10000038	1	male
4400	1995	24-Jul-00	NA	2000	17.60000038	NA	74	24.10000038	0	female
4402	1995	23-Mar-00	NA	2000	18.29999924	NA	80	29.79999924	1	male
4402	1995	07-Jul-00	NA	2000	18.10000038	NA	79	26.20000076	1	male
4402	1995	04-Oct-00	NA	2000	17.5	NA	79	28.89999962	1	male
4403	1995	25-May-00	NA	2000	19.5	NA	78	30.29999924	1	male
4403	1995	20-Jul-00	NA	2000	19.29999924	NA	77	28.70000076	1	male
4403	1995	02-Jul-01	NA	2001	19.20000076	NA	80	28.39999962	1	male
4403	1995	07-Mar-04	08:10	2004	19.5	13.5	78	27.89999962	1	male
4406	1995	23-Mar-00	NA	2000	18.79999924	NA	79	28.79999924	1	male
4406	1995	24-Mar-00	NA	2000	19.79999924	NA	79	29.79999924	1	male
4407	1995	23-Mar-00	NA	2000	18.79999924	NA	79	29.29999924	1	male
4407	1995	24-Mar-00	NA	2000	18.60000038	NA	79	30.39999962	1	male
4411	1995	10-Jul-00	NA	2000	18.29999924	NA	75	25.20000076	1	male
4411	1995	21-Aug-00	NA	2000	18.39999962	NA	76	25.79999924	1	male
4411	1995	05-Oct-00	NA	2000	17.5	NA	77	26.39999962	1	male
4411	1995	07-Oct-00	NA	2000	17.39999962	NA	75	25	1	male
4499	1995	16-Jun-00	NA	2000	19.89999962	NA	81	32	1	male
4499	1995	27-Jul-00	NA	2000	20.5	NA	81	31.60000038	1	male
4499	1995	30-May-01	NA	2001	19.29999924	NA	83	30.10000038	1	male
4404	1996	20-May-00	NA	2000	19.89999962	NA	78	28.39999962	0	female
4404	1996	03-Oct-00	NA	2000	NA	NA	NA	NA	0	female
4404	1996	14-Apr-01	NA	2001	19	NA	80	30	0	female
4408	1997	12-Jul-00	NA	2000	19.70000076	NA	76	30.39999962	0	female
4412	1999	23-May-00	NA	2000	19.70000076	NA	78	28.39999962	1	male
4412	1999	04-Aug-00	NA	2000	18.89999962	NA	78	34.90000153	1	male
4412	1999	02-Oct-00	NA	2000	19.10000038	NA	77	30.20000076	1	male
4412	1999	05-Oct-00	NA	2000	19.29999924	NA	79	28.89999962	1	male
4412	1999	06-Oct-00	NA	2000	19.79999924	NA	78	30.89999962	1	male
4412	1999	06-Jul-01	NA	2001	19.29999924	NA	79	27.89999962	1	male
4413	1999	23-Mar-00	NA	2000	19.29999924	NA	78	28.5	1	male
4413	1999	24-Mar-00	NA	2000	19.10000038	NA	76	29.39999962	1	male
4413	1999	15-Aug-00	NA	2000	19	NA	76	31.29999924	1	male
4413	1999	01-Jun-03	12:00	2003	18.89999962	13.10000038	78	27.25	1	male
4414	1999	23-Mar-00	NA	2000	19.60000038	NA	81	32.09999847	1	male
4414	1999	29-Jul-00	NA	2000	19.70000076	NA	79	30.60000038	1	male
4415	1999	29-May-01	NA	2001	18.39999962	NA	80	27.5	1	male
4415	1999	17-Oct-03	18:05	2003	17.89999962	NA	77	28.5	1	male
4416	1999	25-Mar-00	NA	2000	19.29999924	NA	80	30.60000038	1	male
4416	1999	25-May-00	NA	2000	19.20000076	NA	82	29.89999962	1	male
4417	1999	23-Mar-00	NA	2000	18.79999924	NA	77	30.29999924	1	male
4417	1999	13-Jul-00	NA	2000	18.70000076	NA	79	NA	1	male
4417	1999	03-Jun-01	NA	2001	18.10000038	NA	81	29.70000076	1	male
4417	1999	17-Oct-03	08:25	2003	18.70000076	NA	82	29.5	1	male
4417	1999	20-Jun-04	15:50	2004	19	14.30000019	81	28.79999924	1	male
4418	1999	06-Jul-01	NA	2001	18.29999924	NA	80	25.5	1	male
4418	1999	15-Jun-03	13:20	2003	18.39999962	12.5	78	27.25	1	male
4418	1999	18-Oct-03	09:00	2003	18.20000076	NA	79	27.5	1	male
4418	1999	25-Jun-04	09:40	2004	18.20000076	12.5	78	26.10000038	1	male
4418	1999	23-Nov-04	09:22	2004	18.5	12.5	79	26.70000076	1	male
4418	1999	14-Jul-05	18:40	2005	18.39999962	12.30000019	78	27	1	male
4418	1999	17-Nov-05	12:55	2005	18.5	12.30000019	80	25.29999924	1	male
4419	1999	03-Oct-00	NA	2000	18	NA	78	29.5	1	male
4419	1999	13-Jun-01	NA	2001	18.29999924	NA	78	26.5	1	male
4419	1999	20-Jun-02	NA	2002	18.20000076	NA	77	28	1	male
4420	1999	23-May-02	NA	2002	18.20000076	NA	75	27.79999924	0	female
4428	1999	25-Jul-00	NA	2000	18.10000038	NA	80	27.39999962	1	male
4428	1999	27-Jul-00	NA	2000	17.70000076	NA	79	27.89999962	1	male
4428	1999	04-Oct-00	NA	2000	17.60000038	NA	81	30.29999924	1	male
4429	1999	24-Mar-00	NA	2000	18.70000076	NA	76	30	1	male
4429	1999	12-Jul-00	NA	2000	19.10000038	NA	79	27.5	1	male
4429	1999	05-Oct-00	NA	2000	18.20000076	NA	74	26.5	1	male
4429	1999	11-Oct-01	NA	2001	18.5	NA	76	26.29999924	1	male
4429	1999	21-Mar-02	NA	2002	17.89999962	NA	75	26	1	male
4429	1999	22-Mar-02	NA	2002	18.20000076	NA	76	27.10000038	1	male
4431	1999	24-Mar-00	NA	2000	19.10000038	NA	75	29.89999962	0	female
4431	1999	05-Jul-00	NA	2000	18.70000076	NA	74	26.60000038	0	female
4431	1999	02-Oct-00	NA	2000	18.79999924	NA	74	31.39999962	0	female
4431	1999	05-Oct-00	NA	2000	19.10000038	NA	74	28	0	female
4433	1999	26-May-00	NA	2000	19.60000038	NA	81	32	1	male
4434	1999	24-Mar-00	NA	2000	18.79999924	NA	75	29.20000076	0	female
4434	1999	06-Jun-02	NA	2002	18.20000076	NA	76	26.70000076	0	female
4435	1999	04-May-00	NA	2000	19.5	NA	77	NA	1	male
4435	1999	21-May-01	NA	2001	19.39999962	NA	80	29.60000038	1	male
4435	1999	20-Mar-02	NA	2002	18.89999962	NA	79	29.39999962	1	male
