,rating,year,max_players,log.play.time,two.players,three.players,weight,mech.pca.1,mech.pca.2,mech.pca.3,log.owned,log.n.ratings
pandemic-legacy-season-1,8.67091,2015,4,1.77815125038364,2.064,2.14644351464435,2.8076,-0.680578190471898,1.20304458627644,-1.10091256438595,4.48181513063742,4.26750025939327
through-ages-new-story-civilization,8.71886,2015,4,2.38021124171161,2.25287356321839,2.75418994413408,4.3147,-1.5747977114558,0.987410991095382,-0.930517570255247,4.01853407042818,3.88138465677057
twilight-struggle,8.35696,2005,2,2.25527250510331,2.91808873720137,0,3.5322,0.131340017801501,0.871692220860852,1.20396168382486,4.5779166949841,4.44232295574557
gloomhaven,9.07163,2017,4,2.17609125905568,2.234375,2.55384615384615,3.7206,2.58060268688076,-0.111386556706462,-2.30217108638826,3.80536490746645,3.62345604806993
star-wars-rebellion,8.52846,2016,4,2.38021124171161,2.91860465116279,1.2991452991453,3.5759,0.131340017801501,0.871692220860852,1.20396168382486,4.16826171018288,3.95453194262691
terra-mystica,8.29441,2012,5,2.17609125905568,1.59148936170213,2.084,3.9389,0.513994948357637,0.571572103081468,0.733617045241507,4.4523538701736,4.3913938751357
scythe,8.32058,2016,5,2.06069784035361,1.8068669527897,2.2125,3.3237,1.74443481426418,-0.584736632766956,0.463658882395608,4.36293462938015,4.23578087032756
terraforming-mars,8.38119,2016,5,2.07918124604762,2.15596330275229,2.63478260869565,3.257,-0.910028481191202,-0.227544392518164,-1.25496498756711,4.10961229030846,4.0381033103059
7-wonders-duel,8.1861,2015,2,1.47712125471966,2.94372294372294,0,2.2472,-2.01238660649954,-0.122879367242378,-1.24719064256282,4.53883754787956,4.34133558518099
caverna-cave-farmers,8.1756,2013,7,2.32221929473392,2.06086956521739,2.38306451612903,3.7884,-0.619845498333323,-2.18053045451075,0.769297837831475,4.34580486992042,4.24154648059655
castles-burgundy,8.11262,2011,4,1.95424250943932,2.63594470046083,2.32347826086957,3.0365,-0.447138726653629,-1.89159195354515,-0.237215988631939,4.55154758127447,4.41178800454387
puerto-rico,8.08583,2002,5,2.17609125905568,1.61091340450771,2.21290944123314,3.2939,-0.385309890120143,-0.197001483907866,0.91368115019242,4.74397203440165,4.68652008441662
war-ring-second-edition,8.38628,2012,4,2.25527250510331,2.91791044776119,1.35227272727273,3.9975,0.131340017801501,0.871692220860852,1.20396168382486,4.02596090985638,3.81941231120933
agricola,8.05199,2007,5,2.17609125905568,2.11978771796816,2.56367583212735,3.6321,-0.675492872978022,1.75598457808472,-1.11058167520616,4.77108014034136,4.69069213317428
mage-knight-board-game,8.1362,2011,4,2.17609125905568,2.5689404934688,2.0226904376013,4.2131,2.52385916784115,-1.25303703453547,-3.46273733603283,4.44628857262959,4.27116757894809
blood-rage,8.14261,2015,4,1.95424250943932,1.4047619047619,2.07407407407407,2.8922,-1.66844347025759,0.656875836560748,0.049603717533032,4.28284860283464,4.16462048907971
through-ages-story-civilization,8.08076,2006,4,2.38021124171161,2.20765027322404,2.68537414965986,4.1705,-1.5747977114558,0.987410991095382,-0.930517570255247,4.20265175975734,4.18965872104921
great-western-trail,8.29381,2016,4,2.17609125905568,2.12686567164179,2.69343065693431,3.7206,-0.998337620226219,-1.30964903374438,0.010369569171534,3.93550726582471,3.80379840798967
star-wars-imperial-assault,8.19308,2014,5,2.07918124604762,2.51282051282051,2.125,3.2719,3.94788259738999,-0.453920538935841,-1.47415530322422,4.30715360187584,4.06382105634371
mansions-madness-second-edition,8.30106,2016,5,2.25527250510331,2.14634146341463,2.59756097560976,2.6268,2.24530485078875,1.24273446314431,-0.983004121249983,4.08810063464266,3.85545858038604
arkham-horror-card-game,8.38952,2016,4,2.07918124604762,2.7,1.8921568627451,3.0686,0.13550282646474,1.44245352384783,-0.025311223418434,4.09947345601417,3.78326023287295
mechs-vs-minions,8.35597,2016,4,1.95424250943932,2.14285714285714,2.18840579710145,2.4231,1.81280127323889,0.685384096614832,-1.30934630437777,3.98730867373118,3.74554320199802
power-grid,7.94021,2004,6,2.07918124604762,1.29436038514443,1.94810126582278,3.2858,-0.385309890120143,-0.197001483907866,0.91368115019242,4.68998331225326,4.63068207139277
eclipse,8.00744,2011,6,2.30102999566398,1.71534653465347,2.06588235294118,3.6793,3.61970123037502,-2.76798466407336,-0.638417327796887,4.35577707104647,4.31519337569571
robinson-crusoe-adventures-cursed-island,8.00912,2012,4,2.25527250510331,2.31578947368421,2.48159509202454,3.6987,2.38926136446847,-1.61167592822493,-0.368459164950988,4.4424954472826,4.27165577235228
food-chain-magnate,8.28327,2015,5,2.38021124171161,1.98888888888889,2.57291666666667,4.1765,0.735704345587537,-0.925067983148372,-0.113099262143227,3.84098383732038,3.73086299204649
