"","species","log.LL","log.LMA","log.Nmass","log.Narea","log.Pmass","log.Parea","log.Amass","log.Aarea","log.Gs","log.Rdmass","log.Rdarea","Ca...Ci","biomass"
"7","Acacia colletioides",1.57,2.56,0.252,0.615,-1.319,-0.956,1.41,0.93,2.13,0.76,0.3,134,5.95524898291502
"9","Acacia doratoxylon",1.3,2.34,0.302,0.642,-1.081,-0.741,1.83,1.16,2.15,0.83,0.17,181.2,12.453144940583
"10","Acacia floribunda",1.13,2.1,0.363,0.462,-1.244,-1.145,2.03,1.04,2.28,1.03,0.1,114.6,14.8517428715801
"11","Acacia havilandiorum",1.32,2.62,0.163,0.583,-1.337,-0.918,1.49,1.08,2.09,0.95,0.51,197.5,9.35054390817799
"16","Acacia oswaldii",1.32,2.42,0.264,0.686,-1.174,-0.752,1.61,1.12,2.1,0.65,0.15,176.6,8.82991420801038
"18","Acacia suaveolens",1.47,2.34,0.281,0.625,-1.658,-1.314,1.67,0.98,2.27,0.84,0.16,97.2,6.47039934094108
"19","Acacia willhelmiana",1.08,2.21,0.277,0.482,-1.137,-0.932,1.72,0.91,1.77,1.06,0.26,247.5,11.6943246102896
"31","Acer rubrum",0.746666666666667,1.8425,0.28,0.118142857142857,-0.8765,-1.01,2.042,0.9,2.37,1.04333333333333,-0.136666666666667,76.7,17.4399059228869
"185","Astrotricha floccosa",0.79,1.92,0.201,0.116,-1.149,-1.233,2.18,1.07,2.26,0.95,-0.15,117.1,16.1753646606567
"189","Atriplex stipitata",0.8,1.92,0.462,0.383,-0.879,-0.959,2.36,1.29,2.05,1.59,0.48,284.2,22.5698382998878
"212","Banksia marginata",1.56,2.25,-0.114333333333333,0.136333333333333,-1.676,-1.42533333333333,2.01,1.29,2.49,0.68,-0.01,125,5.94373345140382
"228","Bertya cunninghamii",1.21,2.23,0.282,0.51,-1.071,-0.842,1.61,0.85,1.87,1.01,0.26,165.9,12.6662351838119
"249","Beyeria opaca",1.17,2.2,0.236,0.439,-1.125,-0.923,1.56,0.76,1.75,0.97,0.16,184.6,10.2332566731729
"259","Boronia ledifolia",1.29,2.2,0.076,0.278,-1.658,-1.455,1.74,0.94,2.33,0.79,0.04,87.3,7.37958411152814
"262","Bossiaea walkeri",1.75,2.5,0.085,0.586,-1.42,-0.919,1.46,1.05,2.21,0.83,0.41,135.4,8.58089462913026
"269","Brachychiton populneus",1.12,2.11,0.221,0.327,-1.0495,-0.9435,1.79,0.93,1.9,0.7,-0.15,186.55,10.6412366790664
"313","Callitris glaucophylla",1.49,2.37,0.057,0.452,-1.152,-0.688,1.43,0.8,1.95,0.62,-0.01,133.3,5.55421306649495
"372","Cassinia laevis",1,2.11,0.267,0.381,-0.983,-0.87,1.7,0.84,1.76,1.11,0.25,200.1,13.0155046353444
"495","Correa reflexa",1.07,1.85,0.099,-0.049,-1.328,-1.477,1.85,0.65,2.02,0.66,-0.5,83.1,7.32147980424707
"500","Corymbia gummifera",1.16,2.27,-0.09,0.182,-1.523,-1.251,1.77,1.11,2.37,0.75,0.09,105.5,8.1661356933874
"588","Dodonaea triquetra",0.91,1.98,0.279,0.255,-1.102,-1.126,2.32,1.32,2.39,1,0.01,164.1,14.7687473968094
