StudentID	Tarsus	Leg	BillWidth	GroupN	HandedNess
1JC7394	17.8	R	5.6	A	R
2JC7394	17.4	L	5.6	A	R
3JC7394	17.9	R	5.6	A	R
AB2002	15.2	L	7.9	B	R
AE1805	14.7	L	5.9	A	L
AF151093	22.4	R	7.2	A	L
AF151093	16.2	R	5.8	A	L
AF151093	16.6	R	6.5	A	L
AF151093	22.4	R	7.2	A	L
AF151093	16.2	R	5.8	A	L
AF151093	16.6	R	6.5	A	L
AFC1604	19.5	R	7.5	B	R
AFC1604	19.3	R	7.1	B	R
AFC1604	20.2	R	7	B	R
AH2912	19.5	L	6.8	B	R
AH2912	18.7	L	6.4	B	R
AK2104	19.85	L	7	B	R
Ak70593	14.5	L	7.5	A	R
AK70593	14.9	L	7.5	A	R
Ak70593	14.5	L	7.5	A	R
AK70593	14.9	L	7.5	A	R
AL0109	18.1	L	6.8	B	R
AR0408	17.9	L	5.9	B	A
AR0408	15.9	R	5.3	B	A
AR1310	17.1	R	6.2	A	R
AR1310	17.1	R	6.2	A	R
ASR0312	15	R	5	B	R
ASR0312	15.7	R	9	B	R
BC1603	19.45	L	6.2	A	R
BC1603	19.45	L	6.2	A	R
bm1104	18.2	R	6.7	B	R
cd1302	20.5	R	6.9	B	R
cd1302	21	R	7.4	B	R
CHT2404	19.7	L	5.9	A	R
CHT2404	18.2	L	5.8	A	R
CHT2404	19.7	L	5.9	A	R
CHT2404	18.2	L	5.8	A	R
cm2807	20.6	L	6.1	A	R
cm2807	20.2	L	5.6	A	R
cm2807	20.6	L	6.1	A	R
cm2807	20.2	L	5.6	A	R
CP0409	18.5	L	5.9	B	R
CP0409	18.3	L	5.8	B	R
CT0905	20.36	R	5.4	A	R
CT0905	20.36	R	5.4	A	R
CW2102	23	R	7.2	B	R
CW2102	23	R	7.1	B	R
cz2509	20.4	R	7.85	B	L
DM3107	20.8	L	6.3	B	R
DM3107	19.9	L	6.3	B	R
DS1508	19.6	R	6.4	B	R
DS1508	19.6	R	7.2	B	R
EB0505	18	L	6.8	B	R
EB0505	6.3	R	6.5	B	R
EB0505	16.3	R	6.5	B	R
EF2202	16.1	L	5.5	B	R
EF2202	15.4	R	6.9	B	R
EJM2408	19.5	L	6.8	B	R
EJM2408	19.7	L	6.7	B	R
EM2006	20.6	R	7.3	B	L
EM2006	20.5	R	6.2	B	L
emd2016	17.8	L	7	A	R
emd2016	17.8	L	7	A	R
EW2402	21.6	L	5.6	B	R
EW2402	21.6	L	5.7	B	R
EW2810	23	L	9	B	R
EW2810	22	R	8	B	R
FAH1607	18	R	7.8	C	R
FAH1607	18	R	7.8	C	R
FCG1907	13.05	L	6.1	D	R
FDA2312	18.4	R	7.6	C	R
fda2312	16.8	R	7.3	C	R
FDA2312	18.4	R	7.6	C	R
FDA2312	16.8	R	7.3	C	R
FHW1607	18.3	R	7.8	C	R
FHW1607	17.7	R	7.6	C	R
FHW1607	18.3	R	7.8	C	R
FHW1607	17.7	R	7.6	C	R
FM2809	63	R	7.9	D	L
FTT1408	15.2	L	7.9	C	R
FTT1408	15.2	L	7.9	C	R
HB711	17.7	L	5.7	C	R
HB711	18.4	R	6.4	C	R
HH0208	19.2	L	7.9	C	R
HH0208	19.2	L	7.9	C	R
HL3103	18.5	L	6	D	R
