Year,Site,Habitat,LarvalStage,InfectionStatus,AnnualaverageRf,AnnualaverageTmax,AnnualaverageTmin,AnnualaverageTavg,Springavgtemp
2003,Ibon de Acherito,lake,Adult,1,2.731828388,12.17415094,2.348058957,7.285958273,11.53799842
2003,Ibon de Acherito,lake,Adult,1,2.731828388,12.17415094,2.348058957,7.285958273,11.53799842
2003,Ibon de Acherito,lake,Adult,1,2.731828388,12.17415094,2.348058957,7.285958273,11.53799842
2003,Ibon de Acherito,lake,Adult,0,2.731828388,12.17415094,2.348058957,7.285958273,11.53799842
2003,Ibon de Acherito,lake,Adult,1,2.731828388,12.17415094,2.348058957,7.285958273,11.53799842
2003,Ibon de Acherito,lake,Adult,1,2.731828388,12.17415094,2.348058957,7.285958273,11.53799842
2003,Ibon de Acherito,lake,Adult,1,2.731828388,12.17415094,2.348058957,7.285958273,11.53799842
2003,Ibon de Acherito,lake,Adult,1,2.731828388,12.17415094,2.348058957,7.285958273,11.53799842
2007,Lac d'Arlet,lake,Adult,1,2.788741991,11.86051753,2.338658518,6.921022328,7.938783957
2008,Etang d'Ayes,lake,Adult,0,2.149006495,12.63799947,2.582387909,7.258599518,4.688533607
2008,Etang d'Ayes,lake,Adult,0,2.149006495,12.63799947,2.582387909,7.258599518,4.688533607
2008,Etang d'Ayes,lake,Adult,0,2.149006495,12.63799947,2.582387909,7.258599518,4.688533607
2008,Etang d'Ayes,lake,Adult,0,2.149006495,12.63799947,2.582387909,7.258599518,4.688533607
2008,Etang d'Ayes,lake,Adult,0,2.149006495,12.63799947,2.582387909,7.258599518,4.688533607
2008,Gourg de Rabas,lake,Adult,1,2.726273304,7.031661653,-0.918273163,2.817856009,5.42362686
2008,Gourg de Rabas,lake,Adult,1,2.726273304,7.031661653,-0.918273163,2.817856009,5.42362686
2008,Gourg de Rabas,lake,Adult,1,2.726273304,7.031661653,-0.918273163,2.817856009,5.42362686
2008,Gourg de Rabas,lake,Adult,1,2.726273304,7.031661653,-0.918273163,2.817856009,5.42362686
2008,Gourg de Rabas,lake,Adult,1,2.726273304,7.031661653,-0.918273163,2.817856009,5.42362686
2008,Gourg de Rabas,lake,Adult,1,2.726273304,7.031661653,-0.918273163,2.817856009,5.42362686
2008,Gourg de Rabas,lake,Adult,1,2.726273304,7.031661653,-0.918273163,2.817856009,5.42362686
2008,Gourg de Rabas,lake,Adult,1,2.726273304,7.031661653,-0.918273163,2.817856009,5.42362686
2008,Gourg de Rabas,lake,Adult,1,2.726273304,7.031661653,-0.918273163,2.817856009,5.42362686
2008,Gourg de Rabas,lake,Adult,1,2.726273304,7.031661653,-0.918273163,2.817856009,5.42362686
2008,Lac d'Arlet,lake,Adult,0,2.562468864,10.9537961,1.540479301,5.999479524,6.551942692
2008,Lac d'Arlet,lake,Adult,0,2.487282262,11.10484038,1.467836042,6.013307119,6.551942692
2008,Lac d'Arlet,lake,Adult,0,2.487282262,11.10484038,1.467836042,6.013307119,6.551942692
2008,Lac d'Arlet,lake,Adult,0,2.562468864,10.9537961,1.540479301,5.999479524,6.551942692
2008,Lac de Lhurs,lake,Adult,0,2.46676249,11.94521484,2.410886719,6.936213164,2.462111958
2009,Etang d'Ayes,lake,Adult,0,2.420174722,12.52371914,2.25125702,6.746783954,5.709637833
2009,Etang d'Ayes,lake,Adult,0,2.420174722,12.52371914,2.25125702,6.746783954,5.709637833
2009,Etang d'Ayes,lake,Adult,0,2.359421349,12.67977445,2.28513321,6.832260383,5.709637833
2009,Etang d'Ayes,lake,Adult,0,2.359421349,12.67977445,2.28513321,6.832260383,5.709637833
2009,Ibon de Acherito,lake,Adult,0,2.540026158,11.09557562,2.078719961,6.275447983,10.4166493
